gene_id,gene_name
ensg00000243485,mir1302-2hg
ensg00000237613,fam138a
ensg00000186092,or4f5
ensg00000238009,al627309.1
ensg00000239945,al627309.3
ensg00000239906,al627309.2
ensg00000241860,al627309.5
ensg00000241599,al627309.4
ensg00000286448,ap006222.2
ensg00000236601,al732372.1
ensg00000284733,or4f29
ensg00000235146,ac114498.1
ensg00000284662,or4f16
ensg00000229905,al669831.2
ensg00000237491,linc01409
ensg00000177757,fam87b
ensg00000228794,linc01128
ensg00000225880,linc00115
ensg00000230368,fam41c
ensg00000272438,al645608.6
ensg00000230699,al645608.2
ensg00000241180,al645608.4
ensg00000223764,linc02593
ensg00000187634,samd11
ensg00000188976,noc2l
ensg00000187961,klhl17
ensg00000187583,plekhn1
ensg00000187642,perm1
ensg00000272512,al645608.7
ensg00000188290,hes4
ensg00000187608,isg15
ensg00000224969,al645608.1
ensg00000188157,agrn
ensg00000242590,al645608.5
ensg00000273443,al645608.8
ensg00000237330,rnf223
ensg00000131591,c1orf159
ensg00000285812,al390719.3
ensg00000223823,linc01342
ensg00000272141,al390719.2
ensg00000205231,ttll10-as1
ensg00000162571,ttll10
ensg00000186891,tnfrsf18
ensg00000186827,tnfrsf4
ensg00000078808,sdf4
ensg00000176022,b3galt6
ensg00000184163,c1qtnf12
ensg00000260179,al162741.1
ensg00000160087,ube2j2
ensg00000230415,linc01786
ensg00000162572,scnn1d
ensg00000131584,acap3
ensg00000169972,pusl1
ensg00000127054,ints11
ensg00000240731,al139287.1
ensg00000224051,cptp
ensg00000169962,tas1r3
ensg00000107404,dvl1
ensg00000162576,mxra8
ensg00000175756,aurkaip1
ensg00000221978,ccnl2
ensg00000224870,mrpl20-as1
ensg00000242485,mrpl20
ensg00000272455,al391244.2
ensg00000235098,ankrd65
ensg00000225905,al391244.1
ensg00000205116,tmem88b
ensg00000225285,linc01770
ensg00000179403,vwa1
ensg00000215915,atad3c
ensg00000160072,atad3b
ensg00000197785,atad3a
ensg00000205090,tmem240
ensg00000160075,ssu72
ensg00000215014,al645728.1
ensg00000228594,fndc10
ensg00000286989,al691432.4
ensg00000272106,al691432.2
ensg00000197530,mib2
ensg00000189409,mmp23b
ensg00000248333,cdk11b
ensg00000272004,fo704657.1
ensg00000189339,slc35e2b
ensg00000008128,cdk11a
ensg00000215790,slc35e2a
ensg00000008130,nadk
ensg00000078369,gnb1
ensg00000231050,al109917.1
ensg00000169885,calml6
ensg00000178821,tmem52
ensg00000142609,cfap74
ensg00000233542,al391845.2
ensg00000187730,gabrd
ensg00000226969,al391845.1
ensg00000067606,prkcz
ensg00000271806,al590822.2
ensg00000182873,prkcz-as1
ensg00000162585,faap20
ensg00000234396,al590822.1
ensg00000157933,ski
ensg00000287356,al590822.3
ensg00000116151,morn1
ensg00000272161,al589739.1
ensg00000272420,al513477.2
ensg00000157916,rer1
ensg00000157911,pex10
ensg00000149527,plch2
ensg00000224387,al139246.1
ensg00000229393,al139246.4
ensg00000157881,pank4
ensg00000197921,hes5
ensg00000272449,al139246.5
ensg00000238164,tnfrsf14-as1
ensg00000157873,tnfrsf14
ensg00000228037,al139246.3
ensg00000157870,prxl2b
ensg00000142606,mmel1
ensg00000237058,al831784.1
ensg00000215912,ttc34
ensg00000285945,ac242022.2
ensg00000283259,ac242022.1
ensg00000233234,al592464.2
ensg00000287396,al592464.3
ensg00000231630,al592464.1
ensg00000284745,al589702.1
ensg00000169717,actrt2
ensg00000177133,prdm16-dt
ensg00000142611,prdm16
ensg00000226286,al008733.1
ensg00000272235,al590438.1
ensg00000287828,al354743.2
ensg00000286518,al354743.1
ensg00000130762,arhgef16
ensg00000272088,al512413.1
ensg00000162591,megf6
ensg00000238260,al513320.1
ensg00000158109,tprg1l
ensg00000116213,wrap73
ensg00000078900,tp73
ensg00000227589,al136528.1
ensg00000235131,al136528.2
ensg00000162592,ccdc27
ensg00000235169,smim1
ensg00000130764,lrrc47
ensg00000272153,al365330.1
ensg00000116198,cep104
ensg00000169598,dffb
ensg00000198912,c1orf174
ensg00000236423,linc01134
ensg00000233304,linc01346
ensg00000226374,linc01345
ensg00000284668,linc02780
ensg00000284703,al805961.1
ensg00000235054,linc01777
ensg00000284694,al355602.1
ensg00000227169,z98747.1
ensg00000232596,linc01646
ensg00000196581,ajap1
ensg00000287586,z98886.1
ensg00000284739,bx005132.1
ensg00000284674,linc02781
ensg00000231510,linc02782
ensg00000284616,al139823.1
ensg00000284692,z98259.3
ensg00000284666,z98259.2
ensg00000260972,z98259.1
ensg00000236948,al365255.1
ensg00000131697,nphp4
ensg00000069424,kcnab2
ensg00000116254,chd5
ensg00000116251,rpl22
ensg00000226944,al031847.1
ensg00000158286,rnf207
ensg00000116237,icmt
ensg00000225077,linc00337
ensg00000173673,hes3
ensg00000158292,gpr153
ensg00000097021,acot7
ensg00000271746,al031848.2
ensg00000069812,hes2
ensg00000187017,espn
ensg00000231868,al031848.1
ensg00000215788,tnfrsf25
ensg00000171680,plekhg5
ensg00000162408,nol9
ensg00000173662,tas1r1
ensg00000204859,zbtb48
ensg00000162413,klhl21
ensg00000116273,phf13
ensg00000041988,thap3
ensg00000007923,dnajc11
ensg00000228750,linc01672
ensg00000284744,al591163.1
ensg00000237436,camta1-dt
ensg00000171735,camta1
ensg00000237365,al512330.1
ensg00000237402,camta1-it1
ensg00000237728,z97987.1
ensg00000225126,al365194.1
ensg00000270171,al359881.3
ensg00000270035,al359881.2
ensg00000269978,al359881.1
ensg00000049245,vamp3
ensg00000269925,z98884.2
ensg00000049246,per3
ensg00000236266,z98884.1
ensg00000049247,uts2
ensg00000049249,tnfrsf9
ensg00000116288,park7
ensg00000284747,al034417.4
ensg00000284716,al034417.3
ensg00000116285,errfi1
ensg00000238290,al034417.2
ensg00000227634,linc01714
ensg00000233645,al358876.2
ensg00000162426,slc45a1
ensg00000142599,rere
ensg00000232912,rere-as1
