gene_id,gene_name
ensg00000142611,prdm16
ensg00000284616,""
ensg00000157911,pex10
ensg00000260972,""
ensg00000224340,rpl21p21
ensg00000229280,eef1dp6
ensg00000142655,pex14
ensg00000232596,linc01646
ensg00000231510,linc02782
ensg00000149527,plch2
ensg00000171621,spsb1
ensg00000272235,""
ensg00000284694,""
ensg00000224387,""
ensg00000142583,slc2a5
ensg00000284674,linc02781
ensg00000224338,mtcybp45
ensg00000287727,""
ensg00000173614,nmnat1
ensg00000215720,mffp1
ensg00000241326,""
ensg00000233623,pgam1p11
ensg00000204624,disp3
ensg00000142606,mmel1
ensg00000225931,""
ensg00000171729,tmem51
ensg00000229393,""
ensg00000287586,""
ensg00000227169,""
ensg00000283356,""
ensg00000157916,rer1
ensg00000157881,pank4
ensg00000225387,""
ensg00000048707,vps13d
ensg00000225196,rpl10p17
ensg00000162444,rbp7
ensg00000279625,""
ensg00000180758,gpr157
ensg00000184677,zbtb40
ensg00000285833,""
ensg00000131697,nphp4
ensg00000280222,""
ensg00000285945,""
ensg00000197921,hes5
ensg00000284666,""
ensg00000228943,""
ensg00000234397,ppiap34
ensg00000204138,phactr4
ensg00000233419,ifitm3p7
ensg00000225011,""
ensg00000284676,""
ensg00000090020,slc9a1
ensg00000158006,pafah2
ensg00000214812,arl8bp2
ensg00000196581,ajap1
ensg00000169403,ptafr
ensg00000171612,slc25a33
ensg00000270927,""
ensg00000188910,gjb3
ensg00000230523,linc01756
ensg00000158161,eya3
ensg00000233234,""
ensg00000189337,kazn
ensg00000028137,tnfrsf1b
ensg00000283259,""
ensg00000130939,ube4b
ensg00000175147,tmem51-as1
ensg00000127472,pla2g5
ensg00000060656,ptpru
ensg00000230214,ftlp18
ensg00000189280,gjb5
ensg00000134698,ago4
ensg00000272420,""
ensg00000273274,zbtb8b
ensg00000236648,linc02810
ensg00000232273,fth1p1
ensg00000130940,casz1
ensg00000163879,dnali1
ensg00000227527,""
ensg00000116954,rragc
ensg00000163873,grik3
ensg00000117215,pla2g2d
ensg00000230163,""
ensg00000227538,hnrnpfp1
ensg00000044012,guca2b
ensg00000179051,rcc2
ensg00000215895,hspa5p1
ensg00000126067,psmb2
ensg00000274944,""
ensg00000272078,""
ensg00000230451,rps29p6
ensg00000231606,""
ensg00000054118,thrap3
ensg00000254553,""
ensg00000284653,""
ensg00000237749,rps27p9
ensg00000276747,padi6
ensg00000228776,""
ensg00000159339,padi4
ensg00000261781,linc01654
ensg00000158315,rhbdl2
ensg00000186973,cfap144
ensg00000146463,zmym4
ensg00000142686,c1orf216
ensg00000224751,shmt1p1
ensg00000117148,actl8
ensg00000230585,phb1p12
ensg00000117000,rlf
ensg00000284989,""
ensg00000231630,""
ensg00000092853,clspn
ensg00000255811,""
ensg00000134697,gnl2
ensg00000187513,gja4
ensg00000225671,fcf1p6
ensg00000116151,morn1
ensg00000006555,ttc22
ensg00000236111,rpl6p1
ensg00000214114,mycbp
ensg00000116544,dlgap3
ensg00000236723,""
ensg00000232467,tma16p2
ensg00000117016,rims3
ensg00000163866,smim12
ensg00000237130,mrps6p2
ensg00000232335,""
ensg00000232762,""
ensg00000162384,czib
ensg00000162391,fam151a
ensg00000117859,osbpl9
ensg00000162396,pars2
ensg00000284686,""
ensg00000162378,zyg11b
ensg00000259818,czib-dt
ensg00000234318,""
ensg00000227485,""
ensg00000236646,lamtor5p1
ensg00000243725,ttc4
