gene_id,gene_name
ensmusg00000104478,gm38212
ensmusg00000104385,gm7449
ensmusg00000101231,gm28283
ensmusg00000102135,gm37108
ensmusg00000103282,gm37275
ensmusg00000101097,gm6679
ensmusg00000100764,gm29155
ensmusg00000102534,gm37225
ensmusg00000100831,gm17847
ensmusg00000100884,gm28281
ensmusg00000100635,gm29157
ensmusg00000102213,gm37489
ensmusg00000100480,gm29156
ensmusg00000089037,gm22159
ensmusg00000103629,gm5694
ensmusg00002076531,gm54681
ensmusg00000100025,gm8141
ensmusg00000051285,pcmtd1
ensmusg00000098201,gm26983
ensmusg00000103509,gm38372
ensmusg00000048538,gm9826
ensmusg00000103709,nras-ps2
ensmusg00000077244,gm23274
ensmusg00000102768,gm19002
ensmusg00000103498,gm18984
ensmusg00000103067,gm30414
ensmusg00000102320,gm37791
ensmusg00000104226,gm7470
ensmusg00000103903,rps2-ps2
ensmusg00000103557,gm38216
ensmusg00000026312,cdh7
ensmusg00000100290,gm18552
ensmusg00000100758,gm3332
ensmusg00000099926,gm6693
ensmusg00000039748,exo1
ensmusg00000118715,gm23805
ensmusg00000104158,becn2
ensmusg00000103540,gm37668
ensmusg00000057363,uxs1
ensmusg00000047216,cdh19
ensmusg00000102788,gm38255
ensmusg00000102160,gm36944
ensmusg00000101253,gm29088
ensmusg00000101846,gm19927
ensmusg00000090243,gm16103
ensmusg00000100701,gm19587
ensmusg00000100555,gm8173
ensmusg00000101395,gm8241
ensmusg00000102728,gm37934
ensmusg00000088848,gm26352
ensmusg00002075225,gm54687
ensmusg00000038702,dsel
ensmusg00000101875,gm6028
ensmusg00000099732,gm17752
ensmusg00000101220,gm6717
ensmusg00000100020,gm19086
ensmusg00000088691,gm22331
ensmusg00000099884,gm8204
ensmusg00000100304,gm28190
ensmusg00000101453,gm28189
ensmusg00000102105,gm17946
ensmusg00000099943,gm18181
ensmusg00002075119,gm54688
ensmusg00000101687,gm4854
ensmusg00000055214,pld5
ensmusg00000078184,rbm8a2
ensmusg00000104363,gm38081
ensmusg00000103277,gm37916
ensmusg00000104157,gm38101
ensmusg00000102446,gm17965
ensmusg00000104248,gm38152
ensmusg00000103471,gm17966
ensmusg00000087875,gm26104
ensmusg00000033007,asic4
ensmusg00000070695,cntnap5a
ensmusg00000025909,sntg1
ensmusg00002076179,gm54703
ensmusg00000102033,gm28263
ensmusg00000102647,gm38024
ensmusg00000086235,gm16284
ensmusg00000102253,gm38259
ensmusg00002074990,gm54704
ensmusg00000094429,gm19965
ensmusg00000103884,gm37005
ensmusg00000084353,gm15452
ensmusg00000103933,gm36964
ensmusg00002075967,gm54706
ensmusg00000086195,gm6152
ensmusg00000104504,gm7445
ensmusg00000066693,gm7493
ensmusg00000102316,gm37629
ensmusg00000103819,gm38008
ensmusg00000102871,gm37143
ensmusg00000101571,gm6187
ensmusg00000104428,gm18299
ensmusg00000102272,gm7512
ensmusg00000065625,gm24765
ensmusg00000103411,gm18300
ensmusg00000061024,rrs1
ensmusg00000102030,gm29106
ensmusg00000025911,adhfe1
ensmusg00000081441,gm6161
ensmusg00000067879,vxn
ensmusg00000099827,gm29520
ensmusg00000057335,cep170
ensmusg00000103634,3110062g12rik
ensmusg00000104154,gm38104
ensmusg00000065573,mir350
ensmusg00002076271,gm54718
ensmusg00000025912,mybl1
ensmusg00000045210,vcpip1
ensmusg00000041763,tpp2
ensmusg00000026504,sdccag8
